@relation 'data\\fromFilter'

@attribute sequence_name {A01}
@attribute body_part {010-000-024-033,020-000-033-111,020-000-032-221,010-000-030-096}
@attribute activity {walking,'sitting down',sitting,'standing up from sitting',falling,lying,'standing up from lying','lying down'}
@attribute timestamp numeric
@attribute coord_x numeric
@attribute coord_y numeric
@attribute coord_z numeric

@data
A01,010-000-024-033,walking,6.3379022605128038E17,4.062931,1.892434,0.507425
A01,020-000-033-111,walking,6.3379022605182093E17,4.291954,1.78114,1.344495
A01,020-000-032-221,walking,6.3379022605209126E17,4.359101,1.826456,0.968821
A01,010-000-024-033,walking,6.3379022605236147E17,4.087835,1.879999,0.466983
A01,010-000-030-096,walking,6.3379022605263181E17,4.324462,2.07246,0.488065
A01,020-000-033-111,walking,6.3379022605290214E17,4.364077,1.767691,1.299996
A01,020-000-032-221,walking,6.3379022605317235E17,4.373908,1.88796,0.769019
A01,010-000-024-033,walking,6.3379022605344269E17,3.958496,1.703563,0.511041
A01,020-000-033-111,walking,6.3379022605398323E17,4.244914,1.981682,1.308759
A01,010-000-024-033,walking,6.337902260545239E17,4.016991,1.734065,0.193167
A01,010-000-030-096,walking,6.3379022605479411E17,4.358249,2.033836,0.502825
A01,020-000-033-111,walking,6.3379022605506445E17,4.126309,2.165541,1.378844
A01,020-000-032-221,walking,6.3379022605533478E17,4.41847,1.83986,0.972941
A01,010-000-024-033,walking,6.3379022605560499E17,3.748375,2.073422,0.254482
A01,020-000-032-221,walking,6.3379022605641587E17,4.363126,1.936869,0.939828
A01,010-000-024-033,walking,6.3379022605668621E17,3.820894,2.049378,0.055377
A01,010-000-030-096,walking,6.3379022605695654E17,4.355477,1.990151,0.501698
A01,020-000-033-111,walking,6.3379022605722675E17,4.292501,2.073853,1.366508
A01,020-000-032-221,walking,6.3379022605749709E17,4.443745,1.882843,0.980792
A01,010-000-024-033,walking,6.3379022605776742E17,4.039506,1.908465,0.453817
A01,020-000-032-221,walking,6.337902260585783E17,4.442772,1.921489,0.972292
A01,010-000-024-033,walking,6.3379022605884851E17,4.030049,1.924634,0.490846
A01,010-000-030-096,walking,6.3379022605911885E17,4.43935,1.779095,0.581533
A01,020-000-033-111,walking,6.3379022605938918E17,4.401065,1.95873,1.392703
A01,010-000-024-033,walking,6.3379022605992973E17,4.033097,1.907746,0.449981
A01,020-000-033-111,walking,6.3379022606047027E17,4.257813,2.118816,1.42176
A01,020-000-032-221,walking,6.3379022606074061E17,4.321757,2.016166,0.954243
A01,010-000-024-033,walking,6.3379022606101094E17,3.815208,1.988116,0.227398
A01,010-000-030-096,walking,6.3379022606128115E17,4.308668,2.041559,0.556879
A01,020-000-033-111,walking,6.3379022606155149E17,4.175219,2.162352,1.35213
A01,010-000-024-033,walking,6.3379022606209203E17,4.025538,1.919196,0.537733
A01,020-000-033-111,walking,6.337902260626327E17,4.152695,2.216432,1.345618
A01,020-000-032-221,walking,6.3379022606290291E17,4.327484,1.9038,1.01393
A01,010-000-024-033,walking,6.3379022606317325E17,3.999123,1.911197,0.547205
A01,010-000-030-096,walking,6.3379022606344358E17,4.488844,1.877418,0.298621
A01,020-000-033-111,walking,6.3379022606371379E17,4.14122,2.181059,1.331917
A01,020-000-032-221,walking,6.3379022606398413E17,4.310126,1.990836,0.969041
A01,010-000-024-033,walking,6.3379022606425434E17,3.794369,1.942713,0.193226
A01,020-000-033-111,walking,6.3379022606479501E17,4.13048,2.188556,1.360939
A01,020-000-032-221,walking,6.3379022606506522E17,4.351978,1.933375,0.996161
A01,010-000-024-033,walking,6.3379022606533555E17,4.035764,1.881633,0.497714
A01,010-000-030-096,walking,6.3379022606560589E17,4.332227,2.005438,0.441222
A01,020-000-033-111,walking,6.3379022606587622E17,4.197641,2.16064,1.358047
A01,020-000-032-221,walking,6.3379022606614643E17,4.356683,1.91816,1.056254
A01,010-000-024-033,walking,6.3379022606641677E17,4.021244,1.9099,0.503661
A01,020-000-033-111,walking,6.3379022606695731E17,4.249607,2.157458,1.346551
A01,020-000-032-221,walking,6.3379022606722765E17,4.488511,1.823823,1.029546
A01,010-000-024-033,walking,6.3379022606749798E17,3.807405,2.061717,0.227386
A01,010-000-030-096,walking,6.3379022606776819E17,4.329991,2.008128,0.453714
A01,020-000-032-221,walking,6.3379022606830886E17,4.43227,1.882293,1.040712
A01,010-000-024-033,walking,6.3379022606857907E17,3.794545,2.001294,0.363714
A01,020-000-033-111,walking,6.3379022606911974E17,4.49122,1.606725,1.235031
A01,020-000-032-221,walking,6.3379022606938995E17,4.397789,1.923921,0.953213
A01,010-000-024-033,walking,6.3379022606966029E17,3.961292,1.769835,0.371804
A01,010-000-030-096,walking,6.3379022606993062E17,4.542582,1.687844,0.504662
A01,020-000-033-111,walking,6.3379022607020083E17,4.482728,1.730681,1.323824
A01,020-000-032-221,walking,6.3379022607047117E17,4.381549,1.909361,0.982147
A01,010-000-024-033,walking,6.337902260707415E17,4.108309,2.016576,0.457855
A01,020-000-033-111,walking,6.3379022607128205E17,4.332193,1.775932,1.369755
A01,020-000-032-221,walking,6.3379022607155238E17,4.277153,1.970787,0.951447
A01,010-000-024-033,walking,6.3379022607182259E17,4.014916,1.825585,0.244144
A01,010-000-030-096,walking,6.3379022607209293E17,4.548682,1.725398,0.495404
A01,020-000-033-111,walking,6.3379022607236326E17,4.311849,1.81169,1.323735
A01,020-000-032-221,walking,6.3379022607263347E17,4.232975,1.97645,0.888944
A01,020-000-033-111,walking,6.3379022607344435E17,4.282314,1.812205,1.239617
A01,020-000-032-221,walking,6.3379022607371469E17,4.144715,1.938033,0.960133
A01,010-000-024-033,walking,6.3379022607398502E17,3.97062,1.885386,0.267847
A01,010-000-030-096,walking,6.3379022607425523E17,4.30968,2.049747,0.419509
A01,020-000-033-111,walking,6.3379022607452557E17,4.243491,1.811254,1.210255
A01,020-000-032-221,walking,6.337902260747959E17,4.177396,1.916582,0.936088
A01,010-000-024-033,walking,6.3379022607506611E17,3.922208,1.965139,0.234748
A01,020-000-033-111,walking,6.3379022607560678E17,4.202302,1.805514,1.191213
A01,020-000-032-221,walking,6.3379022607587699E17,4.106981,1.909822,0.911067
A01,010-000-024-033,walking,6.3379022607614733E17,3.969789,1.881336,0.249229
A01,010-000-030-096,walking,6.3379022607641754E17,4.209463,2.141073,0.430456
A01,020-000-033-111,walking,6.3379022607668787E17,4.186062,1.842232,1.189084
A01,020-000-032-221,walking,6.3379022607695821E17,4.089337,1.861573,0.891495
A01,010-000-024-033,walking,6.3379022607722854E17,3.895594,1.967415,0.336935
A01,020-000-033-111,walking,6.3379022607776909E17,4.155809,1.472304,1.20935
A01,020-000-032-221,walking,6.3379022607803942E17,4.101933,1.825103,0.836554
A01,010-000-024-033,walking,6.3379022607830963E17,3.976019,1.808982,0.143199
A01,010-000-030-096,walking,6.3379022607857997E17,3.919449,1.968532,0.16913
A01,020-000-033-111,walking,6.337902260788503E17,4.170764,1.461345,1.164238
A01,020-000-032-221,walking,6.3379022607912051E17,4.070153,1.718686,0.84313
A01,010-000-024-033,walking,6.3379022607939085E17,3.91944,1.940596,0.233181
A01,020-000-033-111,walking,6.3379022607993139E17,4.062353,1.565357,1.161359
A01,020-000-032-221,walking,6.3379022608020173E17,3.444921,1.738551,0.82488
A01,010-000-024-033,walking,6.3379022608047206E17,3.973718,1.884797,0.195786
A01,010-000-030-096,walking,6.3379022608074227E17,3.503156,2.234115,0.460168
A01,020-000-033-111,walking,6.3379022608101261E17,4.023121,1.556408,1.172391
A01,020-000-032-221,walking,6.3379022608128294E17,3.358276,1.802185,0.825345
A01,010-000-024-033,walking,6.3379022608155315E17,3.989688,1.913247,0.051526
A01,020-000-033-111,walking,6.3379022608209382E17,0.050544,3.392424,2.591014
A01,020-000-032-221,walking,6.3379022608236403E17,2.968425,2.819705,1.054477
A01,010-000-024-033,walking,6.3379022608263437E17,3.955255,2.054946,0.30221
A01,010-000-030-096,walking,6.337902260829047E17,3.645522,2.167288,0.286724
A01,020-000-033-111,walking,6.3379022608317491E17,0.042953,3.39622,2.591088
A01,020-000-032-221,walking,6.3379022608344525E17,3.360291,1.966989,0.916737
A01,010-000-024-033,walking,6.3379022608371558E17,4.030046,1.886903,0.299512
A01,020-000-032-221,walking,6.3379022608452646E17,3.379533,1.872627,0.804172
A01,020-000-032-221,walking,6.3379022608560755E17,3.333825,1.972616,0.782831
A01,010-000-024-033,walking,6.3379022608587789E17,3.832123,1.827459,0.496007
A01,020-000-032-221,walking,6.3379022608668877E17,3.266452,1.940006,0.744504
A01,010-000-024-033,walking,6.3379022608695898E17,3.756963,2.188909,0.539165
A01,010-000-030-096,walking,6.3379022608722931E17,3.486014,1.89369,0.249948
A01,020-000-033-111,walking,6.3379022608749965E17,3.47818,2.093183,1.172239
A01,020-000-032-221,walking,6.3379022608776986E17,3.50566,1.970821,0.765509
A01,010-000-024-033,walking,6.3379022608804019E17,3.158588,1.964631,-0.212425
A01,020-000-033-111,walking,6.3379022608858086E17,3.427164,2.089765,1.199716
A01,020-000-032-221,walking,6.3379022608885107E17,3.419009,1.967477,0.731629
A01,010-000-030-096,walking,6.3379022608939174E17,3.442623,1.884611,0.122687
A01,020-000-033-111,walking,6.3379022608966195E17,3.35578,2.09687,1.126878
A01,020-000-032-221,walking,6.3379022608993229E17,3.384227,1.975133,0.69988
A01,010-000-024-033,walking,6.337902260902025E17,2.979833,1.839257,-0.113228
A01,020-000-033-111,walking,6.3379022609074317E17,3.427621,1.979053,1.163889
A01,020-000-032-221,walking,6.3379022609101338E17,3.382843,1.99165,0.655475
A01,010-000-024-033,walking,6.3379022609128371E17,3.057235,1.967031,-0.300777
A01,010-000-030-096,walking,6.3379022609155405E17,3.504035,2.157626,0.110371
A01,020-000-033-111,walking,6.3379022609182426E17,3.390032,2.030624,1.16141
A01,020-000-032-221,walking,6.3379022609209459E17,3.330218,1.932721,0.620936
A01,010-000-024-033,walking,6.3379022609236493E17,3.102483,2.01812,-0.313946
A01,020-000-033-111,walking,6.3379022609290547E17,3.301196,1.814265,1.010231
A01,010-000-024-033,'sitting down',6.3379022609344614E17,3.046735,1.713278,-0.072978
A01,010-000-030-096,'sitting down',6.3379022609371635E17,3.212884,2.103854,0.159501
A01,020-000-033-111,'sitting down',6.3379022609398669E17,3.141629,1.725569,1.088702
A01,020-000-032-221,'sitting down',6.3379022609425702E17,3.217655,1.966047,0.681105
A01,010-000-024-033,'sitting down',6.3379022609452723E17,3.031031,1.869187,-0.126246
A01,020-000-033-111,'sitting down',6.337902260950679E17,3.234392,1.819245,1.130238
A01,020-000-032-221,'sitting down',6.3379022609533811E17,3.372469,1.824526,0.823813
A01,010-000-024-033,'sitting down',6.3379022609560845E17,3.020862,1.863721,-0.195542
A01,010-000-030-096,'sitting down',6.3379022609587878E17,2.997074,2.150577,-0.188695
A01,020-000-033-111,'sitting down',6.3379022609614899E17,3.215184,1.826497,1.005606
A01,020-000-032-221,'sitting down',6.3379022609641933E17,3.07233,1.812909,0.693451
A01,010-000-024-033,'sitting down',6.3379022609668966E17,3.149184,1.956278,-0.089501
A01,020-000-033-111,'sitting down',6.3379022609723021E17,3.198746,1.923019,1.075117
A01,010-000-024-033,'sitting down',6.3379022609777075E17,3.089877,1.503409,-0.002847
A01,010-000-030-096,'sitting down',6.3379022609804109E17,2.926331,2.186303,0.151973
A01,020-000-033-111,'sitting down',6.3379022609831142E17,3.204946,1.862178,1.025074
A01,020-000-032-221,'sitting down',6.3379022609858163E17,3.115538,2.107664,0.799027
A01,010-000-024-033,'sitting down',6.3379022609885197E17,3.427468,1.921136,0.174794
A01,020-000-033-111,'sitting down',6.3379022609939251E17,3.148358,1.954799,0.951635
A01,020-000-032-221,'sitting down',6.3379022609966285E17,3.14836,1.771079,0.771907
A01,010-000-024-033,'sitting down',6.3379022609993318E17,3.126311,1.982329,-0.15374
A01,010-000-030-096,'sitting down',6.3379022610020339E17,2.932061,2.16353,-0.131327
A01,020-000-033-111,'sitting down',6.3379022610047373E17,3.11631,1.98294,0.873754
A01,020-000-032-221,'sitting down',6.3379022610074406E17,3.106337,1.83603,0.691381
A01,010-000-024-033,'sitting down',6.3379022610101427E17,3.124939,2.013835,-0.076662
A01,020-000-033-111,'sitting down',6.3379022610155494E17,3.112029,1.992982,0.860459
A01,020-000-032-221,'sitting down',6.3379022610182515E17,4.638154,0.648778,1.941659
A01,010-000-024-033,'sitting down',6.3379022610209549E17,3.26589,1.808841,0.145266
A01,010-000-030-096,'sitting down',6.3379022610236582E17,3.057927,2.089935,-0.143643
A01,020-000-033-111,'sitting down',6.3379022610263603E17,3.139208,1.914953,0.828385
A01,020-000-032-221,'sitting down',6.3379022610290637E17,3.036294,2.304987,0.56424
A01,010-000-024-033,'sitting down',6.337902261031767E17,3.247964,1.793253,0.130469
A01,020-000-033-111,'sitting down',6.3379022610371725E17,3.093666,2.024743,0.903836
A01,020-000-032-221,'sitting down',6.3379022610398758E17,3.089944,2.263974,0.6541
A01,010-000-024-033,'sitting down',6.3379022610425779E17,3.270718,1.826292,0.077717
A01,010-000-030-096,'sitting down',6.3379022610452813E17,2.929142,2.234301,-0.206423
A01,020-000-033-111,'sitting down',6.3379022610479846E17,3.060126,2.095767,0.763955
A01,020-000-032-221,'sitting down',6.3379022610506867E17,3.10151,2.276348,0.688997
A01,010-000-024-033,'sitting down',6.3379022610533901E17,3.262075,1.841957,0.022991
A01,020-000-033-111,'sitting down',6.3379022610587955E17,3.059532,2.154872,0.817239
A01,020-000-032-221,'sitting down',6.3379022610614989E17,3.013051,2.28686,0.660513
A01,010-000-024-033,'sitting down',6.3379022610642022E17,3.101467,2.045471,-0.101444
A01,010-000-030-096,'sitting down',6.3379022610669043E17,3.215072,1.895116,0.164896
A01,020-000-033-111,'sitting down',6.3379022610696077E17,2.929588,2.348152,0.880455
A01,020-000-032-221,'sitting down',6.337902261072311E17,2.998414,2.291545,0.702722
A01,010-000-024-033,'sitting down',6.3379022610750131E17,3.148386,2.04386,-0.04526
A01,020-000-033-111,'sitting down',6.3379022610804198E17,2.813785,2.284674,1.030311
A01,020-000-032-221,'sitting down',6.3379022610831219E17,2.973901,2.255265,0.825641
A01,010-000-024-033,'sitting down',6.3379022610858253E17,3.124354,2.000715,0.03858
A01,010-000-030-096,'sitting down',6.3379022610885286E17,3.222354,1.839825,0.216444
A01,020-000-033-111,'sitting down',6.3379022610912307E17,2.816716,2.715505,0.838942
A01,020-000-032-221,'sitting down',6.3379022610939341E17,2.97805,2.273625,0.75669
A01,010-000-024-033,'sitting down',6.3379022610966374E17,3.144451,2.014678,-0.095207
A01,020-000-033-111,'sitting down',6.3379022611020429E17,2.879562,2.489763,1.004936
A01,020-000-032-221,'sitting down',6.3379022611047462E17,2.963275,2.418678,0.71798
A01,010-000-024-033,'sitting down',6.3379022611074483E17,3.149356,2.049253,-0.094545
A01,010-000-030-096,sitting,6.3379022611101517E17,3.096909,2.110351,-0.061624
A01,020-000-033-111,sitting,6.337902261112855E17,2.867921,2.464025,0.991596
A01,020-000-032-221,sitting,6.3379022611155571E17,3.013287,2.405333,0.691556
A01,010-000-024-033,sitting,6.3379022611182605E17,3.143222,1.982266,-0.151395
