@relation 'data\\fromFilterOptimitzed-weka.filters.supervised.attribute.Discretize-Rfirst-last'

@attribute sequence_name {A01}
@attribute body_part {020-000-033-111,020-000-032-221,010-000-024-033,010-000-030-096}
@attribute activity {lying,'standing up from lying',walking,'lying down'}
@attribute timestamp {'\'(-inf-6.3379022645358221E17]\'','\'(6.3379022645358221E17-6.3379022649777523E17]\'','\'(6.3379022649777523E17-6.3379022654264397E17]\'','\'(6.3379022654264397E17-6.3379022656994368E17]\'','\'(6.3379022656994368E17-inf)\''}
@attribute coord_x {'\'(-inf-0.977422]\'','\'(0.977422-1.454483]\'','\'(1.454483-2.281429]\'','\'(2.281429-2.438265]\'','\'(2.438265-2.584063]\'','\'(2.584063-2.999622]\'','\'(2.999622-3.465388]\'','\'(3.465388-3.866954]\'','\'(3.866954-4.03434]\'','\'(4.03434-inf)\''}
@attribute coord_y {'\'(-inf-0.383363]\'','\'(0.383363-0.420589]\'','\'(0.420589-1.319265]\'','\'(1.319265-1.513969]\'','\'(1.513969-1.728324]\'','\'(1.728324-1.953962]\'','\'(1.953962-2.367365]\'','\'(2.367365-inf)\''}
@attribute coord_z {'\'(-inf-0.223045]\'','\'(0.223045-0.638747]\'','\'(0.638747-0.764477]\'','\'(0.764477-0.93564]\'','\'(0.93564-inf)\''}

@data
A01,020-000-033-111,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,020-000-032-221,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,010-000-024-033,lying,'\'(-inf-6.3379022645358221E17]\'','\'(2.999622-3.465388]\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,010-000-030-096,lying,'\'(-inf-6.3379022645358221E17]\'','\'(2.999622-3.465388]\'','\'(1.319265-1.513969]\'','\'(0.223045-0.638747]\''
A01,020-000-033-111,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,020-000-032-221,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,010-000-024-033,lying,'\'(-inf-6.3379022645358221E17]\'','\'(2.999622-3.465388]\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,020-000-033-111,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,020-000-032-221,lying,'\'(-inf-6.3379022645358221E17]\'','\'(4.03434-inf)\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
A01,010-000-024-033,lying,'\'(-inf-6.3379022645358221E17]\'','\'(2.999622-3.465388]\'','\'(0.420589-1.319265]\'','\'(0.223045-0.638747]\''
