@relation 'data\\fromFilterOptimitzed'

@attribute sequence_name {A01}
@attribute body_part {020-000-033-111,020-000-032-221,010-000-024-033,010-000-030-096}
@attribute activity {lying,'standing up from lying',walking,'lying down'}
@attribute timestamp numeric
@attribute coord_x numeric
@attribute coord_y numeric
@attribute coord_z numeric

@data
A01,020-000-033-111,lying,6.3379022638041178E17,4.709814,1.235295,0.348424
A01,020-000-032-221,lying,6.3379022638068198E17,4.312984,1.222658,0.329488
A01,010-000-024-033,lying,6.3379022638095232E17,3.168486,1.156843,0.357985
A01,010-000-030-096,lying,6.3379022638122266E17,3.429533,1.365759,0.525692
A01,020-000-033-111,lying,6.3379022638149286E17,4.729345,1.222027,0.283823
A01,020-000-032-221,lying,6.337902263817632E17,4.322008,1.182797,0.278814
A01,010-000-024-033,lying,6.3379022638203354E17,3.163338,1.106434,0.4293
A01,020-000-033-111,lying,6.3379022638257408E17,4.702484,1.189889,0.319108
A01,020-000-032-221,lying,6.3379022638284442E17,4.229593,1.222462,0.24955
A01,010-000-024-033,lying,6.3379022638311462E17,3.188976,1.141625,0.394359
A01,010-000-030-096,lying,6.3379022638338496E17,3.243731,1.280047,0.329996
A01,020-000-033-111,lying,6.337902263836553E17,4.693379,1.114225,0.145428
A01,020-000-032-221,lying,6.337902263839255E17,4.251166,1.291015,0.627832
A01,010-000-024-033,lying,6.3379022638419584E17,3.140488,1.046897,0.359322
A01,020-000-033-111,lying,6.3379022638473638E17,4.646516,1.034003,0.05142
A01,020-000-032-221,lying,6.3379022638500672E17,4.138591,1.310563,0.695316
A01,010-000-024-033,lying,6.3379022638527706E17,3.143971,1.082242,0.344599
A01,010-000-030-096,lying,6.3379022638554726E17,3.27139,1.367651,0.301857
A01,020-000-033-111,lying,6.337902263858176E17,4.447004,0.74698,0.442843
A01,020-000-032-221,lying,6.3379022638608794E17,4.191556,0.885736,0.262423
A01,010-000-024-033,lying,6.3379022638635814E17,3.154619,1.063092,0.336309
A01,020-000-033-111,lying,6.3379022638689882E17,4.615364,0.996607,0.265041
A01,020-000-032-221,lying,6.3379022638716902E17,4.242312,0.949081,0.328878
A01,010-000-024-033,lying,6.3379022638743936E17,3.189832,1.131729,0.355294
A01,010-000-030-096,lying,6.337902263877097E17,3.234324,1.379488,0.339887
A01,020-000-033-111,lying,6.337902263879799E17,4.655777,1.105442,0.281764
A01,020-000-032-221,lying,6.3379022638825024E17,4.253212,1.422396,0.44796
A01,010-000-024-033,lying,6.3379022638852058E17,3.105921,1.029844,0.580149
A01,020-000-033-111,lying,6.3379022638906112E17,4.623343,0.899599,0.453817
A01,020-000-032-221,lying,6.3379022638933146E17,4.185806,0.810344,0.607349
A01,010-000-024-033,lying,6.3379022638960179E17,3.087933,1.009044,0.596335
A01,010-000-030-096,lying,6.33790226389872E17,3.218741,1.316078,0.31945
A01,020-000-033-111,lying,6.3379022639014234E17,4.540156,0.781335,0.443147
A01,020-000-032-221,lying,6.3379022639041267E17,4.063908,0.843254,0.434282
A01,010-000-024-033,lying,6.3379022639068288E17,3.198293,1.164335,0.426904
A01,020-000-033-111,lying,6.3379022639122355E17,4.449313,0.437339,0.808679
A01,020-000-032-221,lying,6.3379022639149376E17,4.12917,0.81976,0.46324
A01,010-000-024-033,lying,6.337902263917641E17,3.080264,0.997357,0.590415
A01,010-000-030-096,lying,6.3379022639203443E17,3.406348,1.016798,0.328034
A01,020-000-033-111,lying,6.3379022639230464E17,4.143433,0.685708,1.683329
A01,020-000-032-221,lying,6.3379022639257498E17,4.180233,1.120422,0.283524
