id_record,sequence_name,body_part,activity,timestamp,date,coord_x,coord_y,coord_z
1981,A01,020-000-033-111,lying,633790226380411722,27.05.2009 14:03:58:040,4.70981359481811,1.23529541492462,0.34842437505722
1982,A01,020-000-032-221,lying,633790226380682020,27.05.2009 14:03:58:067,4.31298351287842,1.22265839576721,0.329487890005112
1983,A01,010-000-024-033,lying,633790226380952315,27.05.2009 14:03:58:097,3.16848564147949,1.15684342384338,0.357985109090805
1984,A01,010-000-030-096,lying,633790226381222614,27.05.2009 14:03:58:123,3.42953276634216,1.36575937271118,0.525691866874695
1985,A01,020-000-033-111,lying,633790226381492904,27.05.2009 14:03:58:150,4.72934532165527,1.22202682495117,0.283822894096375
1986,A01,020-000-032-221,lying,633790226381763194,27.05.2009 14:03:58:177,4.32200813293457,1.1827974319458,0.278814494609833
1987,A01,010-000-024-033,lying,633790226382033489,27.05.2009 14:03:58:203,3.16333770751953,1.10643434524536,0.429300129413605
1988,A01,020-000-033-111,lying,633790226382574076,27.05.2009 14:03:58:257,4.70248365402222,1.18988883495331,0.319108128547668
1989,A01,020-000-032-221,lying,633790226382844371,27.05.2009 14:03:58:283,4.22959280014038,1.22246170043945,0.24954953789711
1990,A01,010-000-024-033,lying,633790226383114665,27.05.2009 14:03:58:310,3.18897581100464,1.14162528514862,0.39435949921608
1991,A01,010-000-030-096,lying,633790226383384957,27.05.2009 14:03:58:340,3.24373078346252,1.28004693984985,0.329995810985565
1992,A01,020-000-033-111,lying,633790226383655247,27.05.2009 14:03:58:367,4.69337940216064,1.11422479152679,0.145427942276001
1993,A01,020-000-032-221,lying,633790226383925541,27.05.2009 14:03:58:393,4.25116586685181,1.29101526737213,0.627831637859344
1994,A01,010-000-024-033,lying,633790226384195836,27.05.2009 14:03:58:420,3.14048790931702,1.04689693450928,0.359322309494019
1995,A01,020-000-033-111,lying,633790226384736420,27.05.2009 14:03:58:473,4.6465163230896,1.03400278091431,0.0514203272759914
1996,A01,020-000-032-221,lying,633790226385006718,27.05.2009 14:03:58:500,4.13859081268311,1.31056344509125,0.695315599441528
1997,A01,010-000-024-033,lying,633790226385277015,27.05.2009 14:03:58:527,3.14397072792053,1.0822422504425,0.34459924697876
1998,A01,010-000-030-096,lying,633790226385547313,27.05.2009 14:03:58:553,3.27139019966126,1.36765086650848,0.301857262849808
1999,A01,020-000-033-111,lying,633790226385817612,27.05.2009 14:03:58:583,4.44700384140015,0.746979534626007,0.442842900753021
2000,A01,020-000-032-221,lying,633790226386087905,27.05.2009 14:03:58:610,4.19155597686768,0.885736465454102,0.262422680854797
2001,A01,010-000-024-033,lying,633790226386358200,27.05.2009 14:03:58:637,3.15461921691895,1.06309187412262,0.336309254169464
2002,A01,020-000-033-111,lying,633790226386898784,27.05.2009 14:03:58:690,4.61536407470703,0.996607303619385,0.265040636062622
2003,A01,020-000-032-221,lying,633790226387169075,27.05.2009 14:03:58:717,4.24231195449829,0.949080646038055,0.32887801527977
2004,A01,010-000-024-033,lying,633790226387439372,27.05.2009 14:03:58:743,3.18983197212219,1.13172888755798,0.355294108390808
2005,A01,010-000-030-096,lying,633790226387709667,27.05.2009 14:03:58:770,3.23432445526123,1.37948846817017,0.339887022972107
2006,A01,020-000-033-111,lying,633790226387979960,27.05.2009 14:03:58:797,4.65577697753906,1.10544240474701,0.281764179468155
2007,A01,020-000-032-221,lying,633790226388250254,27.05.2009 14:03:58:827,4.25321197509766,1.42239594459534,0.447959721088409
2008,A01,010-000-024-033,lying,633790226388520552,27.05.2009 14:03:58:853,3.10592103004456,1.02984380722046,0.580148756504059
2009,A01,020-000-033-111,lying,633790226389061140,27.05.2009 14:03:58:907,4.62334251403809,0.899599313735962,0.453817456960678
2010,A01,020-000-032-221,lying,633790226389331435,27.05.2009 14:03:58:933,4.1858057975769,0.810343861579895,0.607348740100861
2011,A01,010-000-024-033,lying,633790226389601730,27.05.2009 14:03:58:960,3.08793258666992,1.00904381275177,0.596335232257843
2012,A01,010-000-030-096,lying,633790226389872021,27.05.2009 14:03:58:987,3.21874070167542,1.31607782840729,0.319449961185455
2013,A01,020-000-033-111,lying,633790226390142317,27.05.2009 14:03:59:013,4.54015588760376,0.781334638595581,0.443147212266922
2014,A01,020-000-032-221,lying,633790226390412614,27.05.2009 14:03:59:040,4.06390810012817,0.843253672122955,0.434282302856445
2015,A01,010-000-024-033,lying,633790226390682908,27.05.2009 14:03:59:067,3.19829344749451,1.16433489322662,0.426904171705246
2016,A01,020-000-033-111,lying,633790226391223489,27.05.2009 14:03:59:123,4.44931316375732,0.437339216470718,0.808679342269897
2017,A01,020-000-032-221,lying,633790226391493782,27.05.2009 14:03:59:150,4.12916994094849,0.819760024547577,0.463239967823029
2018,A01,010-000-024-033,lying,633790226391764073,27.05.2009 14:03:59:177,3.08026361465454,0.997357130050659,0.590415358543396
2019,A01,010-000-030-096,lying,633790226392034370,27.05.2009 14:03:59:203,3.40634775161743,1.01679766178131,0.32803413271904
2020,A01,020-000-033-111,lying,633790226392304669,27.05.2009 14:03:59:230,4.14343309402466,0.685708105564117,1.68332886695862
2021,A01,020-000-032-221,lying,633790226392574967,27.05.2009 14:03:59:257,4.18023300170898,1.12042164802551,0.28352427482605
2022,A01,010-000-024-033,lying,633790226392845261,27.05.2009 14:03:59:283,3.2596640586853,1.24906527996063,0.403753966093063
2023,A01,020-000-032-221,lying,633790226393656132,27.05.2009 14:03:59:367,4.21540832519531,1.11046802997589,0.381982356309891
2024,A01,010-000-024-033,lying,633790226393926422,27.05.2009 14:03:59:393,3.41003084182739,1.53605818748474,0.486313968896866
2025,A01,010-000-030-096,lying,633790226394196718,27.05.2009 14:03:59:420,3.60163068771362,1.39565706253052,0.652547061443329
2026,A01,020-000-033-111,lying,633790226394467012,27.05.2009 14:03:59:447,5.23331928253174,0.96821004152298,0.223136588931084
2027,A01,020-000-032-221,lying,633790226394737311,27.05.2009 14:03:59:473,3.85555219650269,1.22385859489441,0.303530335426331
2028,A01,010-000-024-033,lying,633790226395007610,27.05.2009 14:03:59:500,3.45006012916565,1.50360059738159,0.511975228786469
2029,A01,020-000-033-111,lying,633790226395548199,27.05.2009 14:03:59:553,4.5493597984314,0.675960779190063,0.364645838737488
2030,A01,020-000-032-221,lying,633790226395818496,27.05.2009 14:03:59:583,4.06396770477295,0.786490976810455,0.428536981344223
2031,A01,010-000-024-033,lying,633790226396088794,27.05.2009 14:03:59:610,3.39192461967468,1.43566060066223,0.399100631475449
2032,A01,010-000-030-096,lying,633790226396359085,27.05.2009 14:03:59:637,3.3691143989563,1.59395551681519,0.396147787570953
2033,A01,020-000-033-111,lying,633790226396629376,27.05.2009 14:03:59:663,4.77149534225464,1.15034687519073,0.508772730827332
2034,A01,020-000-032-221,lying,633790226396899668,27.05.2009 14:03:59:690,4.09470653533936,0.933420062065125,0.649335443973541
2035,A01,010-000-024-033,lying,633790226397169958,27.05.2009 14:03:59:717,3.39936089515686,1.15309059619904,0.370235085487366
2036,A01,020-000-033-111,lying,633790226397710544,27.05.2009 14:03:59:770,4.33565330505371,1.11176764965057,0.361008524894714
2037,A01,020-000-032-221,lying,633790226397980839,27.05.2009 14:03:59:797,4.05725145339966,0.946753442287445,0.882869124412537
2038,A01,010-000-024-033,lying,633790226398251133,27.05.2009 14:03:59:827,3.20606875419617,1.32077789306641,0.373979449272156
2039,A01,010-000-030-096,lying,633790226398521429,27.05.2009 14:03:59:853,3.45699238777161,1.27675402164459,0.42065754532814
2040,A01,020-000-033-111,lying,633790226398791728,27.05.2009 14:03:59:880,4.59663724899292,1.06059813499451,0.433280974626541
2041,A01,020-000-032-221,lying,633790226399062020,27.05.2009 14:03:59:907,4.14405870437622,1.03228890895843,0.675773441791534
2042,A01,010-000-024-033,lying,633790226399332313,27.05.2009 14:03:59:933,3.18436551094055,1.22184407711029,0.45027095079422
2043,A01,020-000-033-111,lying,633790226399872902,27.05.2009 14:03:59:987,4.76625823974609,1.31225776672363,1.33105874061584
2044,A01,020-000-032-221,lying,633790226400143195,27.05.2009 14:04:00:013,4.20240211486816,0.862721025943756,0.517082870006561
2045,A01,010-000-024-033,lying,633790226400413488,27.05.2009 14:04:00:040,3.15684533119202,1.26178085803986,0.577547490596771
2046,A01,010-000-030-096,lying,633790226400683783,27.05.2009 14:04:00:070,3.35254955291748,1.53405332565308,0.449152708053589
2047,A01,020-000-033-111,lying,633790226400954081,27.05.2009 14:04:00:097,4.92777109146118,1.05655217170715,0.551817178726196
2048,A01,020-000-032-221,lying,633790226401224376,27.05.2009 14:04:00:123,4.3894681930542,0.78681755065918,0.508161306381226
2049,A01,010-000-024-033,lying,633790226401494669,27.05.2009 14:04:00:150,3.38194441795349,1.33142948150635,0.632964491844177
2050,A01,020-000-033-111,lying,633790226402035256,27.05.2009 14:04:00:203,4.71607398986816,1.09246909618378,0.385804653167725
2051,A01,010-000-024-033,lying,633790226402575839,27.05.2009 14:04:00:257,3.47510027885437,1.466099858284,0.517961859703064
2052,A01,010-000-030-096,lying,633790226402846132,27.05.2009 14:04:00:283,3.40386271476746,1.31734931468964,0.316651731729507
2053,A01,020-000-033-111,lying,633790226403116431,27.05.2009 14:04:00:310,4.6296329498291,1.11271250247955,0.35541170835495
2054,A01,010-000-024-033,lying,633790226403657027,27.05.2009 14:04:00:367,3.3668041229248,1.60980677604675,0.472243428230286
2055,A01,020-000-033-111,lying,633790226404197612,27.05.2009 14:04:00:420,4.90142202377319,1.07523548603058,0.752820611000061
2056,A01,020-000-032-221,lying,633790226404467908,27.05.2009 14:04:00:447,4.81887149810791,0.452056020498276,-0.824041545391083
2057,A01,010-000-024-033,lying,633790226404738199,27.05.2009 14:04:00:473,3.27374958992004,1.3752783536911,0.381776720285416
2058,A01,010-000-030-096,lying,633790226405008493,27.05.2009 14:04:00:500,3.38644599914551,1.46429002285004,0.350800633430481
2059,A01,020-000-033-111,lying,633790226405278791,27.05.2009 14:04:00:527,4.95925855636597,0.956594169139862,0.57806533575058
