id_record,sequence_name,body_part,activity,timestamp,date,coord_x,coord_y,coord_z
5831,A02,010-000-024-033,walking,633790230241677177,27.05.2009 14:10:24:167,3.8436150550842285,2.038317918777466,0.4496184289455414
5832,A02,010-000-030-096,walking,633790230241947475,27.05.2009 14:10:24:193,3.288137435913086,1.7760037183761597,0.2172906994819641
5833,A02,020-000-033-111,walking,633790230242217774,27.05.2009 14:10:24:223,3.7905502319335938,2.10894513130188,1.2178658246994019
5834,A02,020-000-032-221,walking,633790230242488064,27.05.2009 14:10:24:250,4.826080322265625,3.061596393585205,2.016235589981079
5835,A02,010-000-024-033,walking,633790230242758363,27.05.2009 14:10:24:277,3.889177083969116,1.9832324981689453,0.34168723225593567
5836,A02,010-000-024-033,walking,633790230243839526,27.05.2009 14:10:24:383,3.8668057918548584,2.037929058074951,0.4540541470050812
5837,A02,010-000-030-096,walking,633790230244109820,27.05.2009 14:10:24:410,3.724804401397705,2.37532639503479,0.43077021837234497
5838,A02,020-000-033-111,walking,633790230244380118,27.05.2009 14:10:24:437,3.798861265182495,2.0785067081451416,1.1724120378494263
5839,A02,020-000-032-221,walking,633790230244650412,27.05.2009 14:10:24:467,4.824059009552002,3.062581777572632,2.010768413543701
5840,A02,010-000-024-033,walking,633790230244920703,27.05.2009 14:10:24:493,3.889165163040161,2.053361177444458,0.3612026274204254
5841,A02,020-000-033-111,walking,633790230245461287,27.05.2009 14:10:24:547,3.8123855590820312,1.9204648733139038,1.1589833498001099
5842,A02,020-000-032-221,walking,633790230245731579,27.05.2009 14:10:24:573,4.823084354400635,3.063396453857422,2.0150787830352783
5843,A02,010-000-024-033,walking,633790230246001875,27.05.2009 14:10:24:600,3.8929805755615234,2.0033223628997803,0.43099477887153625
5844,A02,010-000-030-096,walking,633790230246272172,27.05.2009 14:10:24:627,3.733717918395996,2.3324546813964844,0.5154662132263184
5845,A02,020-000-033-111,walking,633790230246542464,27.05.2009 14:10:24:653,3.8058855533599854,1.8785507678985596,1.2877317667007446
5846,A02,020-000-032-221,walking,633790230246812755,27.05.2009 14:10:24:680,3.734437942504883,1.9616941213607788,1.0185844898223877
5847,A02,010-000-024-033,walking,633790230247083052,27.05.2009 14:10:24:707,3.8472392559051514,2.010373592376709,0.419102281332016
5848,A02,020-000-033-111,walking,633790230247623636,27.05.2009 14:10:24:763,3.8137409687042236,1.8538302183151245,1.208497405052185
5849,A02,020-000-032-221,walking,633790230247893931,27.05.2009 14:10:24:790,3.771714687347412,2.072476863861084,0.9518667459487915
5850,A02,010-000-024-033,walking,633790230248164230,27.05.2009 14:10:24:817,3.8971095085144043,2.0731756687164307,0.4268221855163574
5851,A02,010-000-030-096,walking,633790230248434521,27.05.2009 14:10:24:843,3.749872922897339,2.341505289077759,0.4174017906188965
5852,A02,020-000-033-111,walking,633790230248704813,27.05.2009 14:10:24:870,3.805196523666382,1.9961177110671997,1.1548562049865723
5853,A02,020-000-032-221,walking,633790230248975111,27.05.2009 14:10:24:897,3.7412984371185303,2.065986156463623,0.9101544618606567
5854,A02,010-000-024-033,walking,633790230249245402,27.05.2009 14:10:24:923,3.7020936012268066,2.082828998565674,0.25442078709602356
5855,A02,020-000-033-111,walking,633790230249785985,27.05.2009 14:10:24:980,3.809406280517578,1.9938971996307373,1.2604516744613647
5856,A02,020-000-032-221,walking,633790230250056277,27.05.2009 14:10:25:007,3.719547748565674,1.8220734596252441,0.8203259706497192
5857,A02,010-000-024-033,walking,633790230250326570,27.05.2009 14:10:25:033,3.8810884952545166,2.0567164421081543,0.2956596910953522
5858,A02,010-000-030-096,walking,633790230250596867,27.05.2009 14:10:25:060,4.107344150543213,2.7791311740875244,0.5139487385749817
5859,A02,020-000-033-111,walking,633790230250867164,27.05.2009 14:10:25:087,0.0622519850730896,3.3869948387145996,2.5792248249053955
5860,A02,020-000-032-221,walking,633790230251137456,27.05.2009 14:10:25:113,3.330639123916626,1.903855323791504,0.8626826405525208
5861,A02,010-000-024-033,walking,633790230251407746,27.05.2009 14:10:25:140,3.7741761207580566,2.018130302429199,0.04640745744109154
5862,A02,020-000-033-111,walking,633790230251948334,27.05.2009 14:10:25:193,3.31083607673645,1.9590014219284058,1.1729177236557007
5863,A02,020-000-032-221,walking,633790230252218631,27.05.2009 14:10:25:223,3.3949568271636963,1.8378605842590332,0.8537474274635315
5864,A02,010-000-024-033,walking,633790230252488922,27.05.2009 14:10:25:250,3.6247828006744385,1.8958663940429688,0.1928178369998932
5865,A02,010-000-030-096,walking,633790230252759221,27.05.2009 14:10:25:277,3.971226930618286,2.5552141666412354,0.6235231161117554
5866,A02,020-000-033-111,walking,633790230253029512,27.05.2009 14:10:25:303,3.2808711528778076,1.9878109693527222,1.1420128345489502
5867,A02,020-000-032-221,walking,633790230253299804,27.05.2009 14:10:25:330,3.3738930225372314,1.8758381605148315,0.7218345403671265
5868,A02,010-000-024-033,walking,633790230253570100,27.05.2009 14:10:25:357,3.6563642024993896,2.1390368938446045,0.14279696345329285
5869,A02,020-000-033-111,walking,633790230254110686,27.05.2009 14:10:25:410,3.220776319503784,1.9788060188293457,1.1434282064437866
5870,A02,020-000-032-221,walking,633790230254380977,27.05.2009 14:10:25:437,3.5724995136260986,1.973535180091858,0.7423427700996399
5871,A02,010-000-024-033,walking,633790230254651273,27.05.2009 14:10:25:467,3.5698037147521973,2.212466239929199,-0.0449666790664196
5872,A02,010-000-030-096,walking,633790230254921563,27.05.2009 14:10:25:493,3.4130284786224365,2.2179393768310547,0.5434215068817139
5873,A02,020-000-033-111,walking,633790230255191855,27.05.2009 14:10:25:520,3.025826930999756,1.9303098917007446,1.118025541305542
5874,A02,020-000-032-221,walking,633790230255462154,27.05.2009 14:10:25:547,3.2841498851776123,1.9669712781906128,0.6298699378967285
5875,A02,010-000-024-033,walking,633790230255732448,27.05.2009 14:10:25:573,3.510118246078491,2.170012950897217,-0.10182551294565201
5876,A02,020-000-033-111,walking,633790230256273030,27.05.2009 14:10:25:627,2.886995553970337,1.948966145515442,1.1349321603775024
5877,A02,020-000-032-221,walking,633790230256543329,27.05.2009 14:10:25:653,2.0602965354919434,1.8461196422576904,1.062133550643921
5878,A02,010-000-024-033,walking,633790230256813621,27.05.2009 14:10:25:680,3.4909777641296387,2.135735034942627,-0.11294678598642349
5879,A02,010-000-030-096,walking,633790230257083917,27.05.2009 14:10:25:710,3.8677072525024414,1.6732395887374878,0.20149531960487366
5880,A02,020-000-033-111,walking,633790230257354215,27.05.2009 14:10:25:737,2.8070318698883057,1.8534830808639526,1.1412938833236694
5881,A02,020-000-032-221,walking,633790230257624514,27.05.2009 14:10:25:763,1.8397853374481201,1.82918119430542,0.8733032941818237
5882,A02,010-000-024-033,walking,633790230257894809,27.05.2009 14:10:25:790,3.485180377960205,2.1702070236206055,-0.09231965243816376
5883,A02,020-000-033-111,walking,633790230258435392,27.05.2009 14:10:25:843,2.7973711490631104,1.9080346822738647,1.2211722135543823
5884,A02,020-000-032-221,walking,633790230258705689,27.05.2009 14:10:25:870,2.677734613418579,1.8007785081863403,0.6318003535270691
5885,A02,010-000-024-033,walking,633790230258975987,27.05.2009 14:10:25:897,3.511260986328125,2.09675931930542,-0.13646502792835236
5886,A02,010-000-030-096,walking,633790230259246278,27.05.2009 14:10:25:923,3.504751682281494,2.097886800765991,0.277656227350235
5887,A02,020-000-033-111,walking,633790230259516570,27.05.2009 14:10:25:950,3.304823398590088,1.918144941329956,1.1150541305541992
5888,A02,020-000-032-221,walking,633790230259786866,27.05.2009 14:10:25:980,3.0429766178131104,1.6209007501602173,0.7053594589233398
5889,A02,010-000-024-033,walking,633790230260057165,27.05.2009 14:10:26:007,3.396594285964966,2.035165548324585,0.09749768674373627
5890,A02,020-000-033-111,walking,633790230260597754,27.05.2009 14:10:26:060,3.176297664642334,1.7964730262756348,1.300627589225769
5891,A02,020-000-032-221,walking,633790230260868049,27.05.2009 14:10:26:087,2.790712833404541,1.768714189529419,0.7443308234214783
5892,A02,010-000-024-033,walking,633790230261138342,27.05.2009 14:10:26:113,3.5078787803649902,2.1730096340179443,-0.05339546129107475
5893,A02,010-000-030-096,walking,633790230261408632,27.05.2009 14:10:26:140,2.847583770751953,1.9593391418457031,-0.08111247420310974
5894,A02,020-000-033-111,walking,633790230261678931,27.05.2009 14:10:26:167,3.141040563583374,1.8341495990753174,1.2616093158721924
5895,A02,020-000-032-221,walking,633790230261949229,27.05.2009 14:10:26:193,2.6913604736328125,1.7728632688522339,0.803092896938324
5896,A02,010-000-024-033,walking,633790230262219519,27.05.2009 14:10:26:223,3.3063302040100098,1.8581278324127197,0.158471018075943
5897,A02,020-000-033-111,walking,633790230262760105,27.05.2009 14:10:26:277,2.988309144973755,1.7718640565872192,1.275800108909607
5898,A02,020-000-032-221,walking,633790230263030401,27.05.2009 14:10:26:303,2.933458089828491,1.7102978229522705,0.8628979325294495
5899,A02,010-000-024-033,walking,633790230263300695,27.05.2009 14:10:26:330,3.36232328414917,1.933801293373108,0.1807444840669632
5900,A02,010-000-030-096,walking,633790230263570988,27.05.2009 14:10:26:357,2.722557783126831,1.801615595817566,-0.046560537070035934
5901,A02,020-000-033-111,walking,633790230263841280,27.05.2009 14:10:26:383,2.929929256439209,1.9376553297042847,1.2351994514465332
5902,A02,020-000-032-221,walking,633790230264111570,27.05.2009 14:10:26:410,2.618316650390625,1.767346978187561,0.7681360244750977
5903,A02,010-000-024-033,walking,633790230264381860,27.05.2009 14:10:26:437,3.217991590499878,1.917276382446289,-0.07615587115287781
5904,A02,020-000-033-111,walking,633790230264922440,27.05.2009 14:10:26:493,2.801386833190918,1.7142274379730225,1.2141002416610718
5905,A02,020-000-032-221,walking,633790230265192736,27.05.2009 14:10:26:520,2.971404552459717,3.5641672611236572,-0.2576882243156433
5906,A02,010-000-030-096,walking,633790230265733317,27.05.2009 14:10:26:573,2.838818311691284,1.7595758438110352,-0.10815653204917908
5907,A02,020-000-033-111,walking,633790230266003612,27.05.2009 14:10:26:600,2.7105908393859863,1.7196675539016724,1.2371028661727905
5908,A02,020-000-032-221,walking,633790230266273911,27.05.2009 14:10:26:627,2.9115850925445557,3.465963363647461,-0.36874568462371826
5909,A02,010-000-024-033,walking,633790230266544203,27.05.2009 14:10:26:653,2.8793795108795166,1.894974708557129,-0.09301334619522095
5910,A02,020-000-033-111,walking,633790230267084789,27.05.2009 14:10:26:710,2.637366533279419,1.7313272953033447,1.1780585050582886
5911,A02,020-000-032-221,walking,633790230267355080,27.05.2009 14:10:26:737,2.871420383453369,3.340141773223877,-0.3537459969520569
5912,A02,010-000-024-033,walking,633790230267625374,27.05.2009 14:10:26:763,2.684849262237549,1.8071589469909668,0.031701672822237015
5913,A02,020-000-033-111,walking,633790230268165960,27.05.2009 14:10:26:817,2.2585623264312744,1.5398528575897217,1.3112624883651733
5914,A02,020-000-032-221,walking,633790230268436259,27.05.2009 14:10:26:843,2.713933229446411,1.8714574575424194,0.34538331627845764
5915,A02,010-000-024-033,walking,633790230268706551,27.05.2009 14:10:26:870,2.602177858352661,1.4867421388626099,0.2564004063606262
5916,A02,020-000-033-111,walking,633790230269247135,27.05.2009 14:10:26:923,2.781883478164673,3.200655460357666,0.3695833086967468
5917,A02,020-000-032-221,walking,633790230269517434,27.05.2009 14:10:26:953,2.6984593868255615,1.5394631624221802,0.6110174059867859
5918,A02,010-000-024-033,walking,633790230269787730,27.05.2009 14:10:26:980,2.679305076599121,1.2441184520721436,0.25245314836502075
5919,A02,010-000-030-096,walking,633790230270058024,27.05.2009 14:10:27:007,2.867429733276367,1.7867391109466553,-0.2143760323524475
5920,A02,020-000-033-111,walking,633790230270328314,27.05.2009 14:10:27:033,2.7271382808685303,1.47627592086792,1.034266710281372
5921,A02,020-000-032-221,walking,633790230270598610,27.05.2009 14:10:27:060,2.6544952392578125,1.4394547939300537,0.6438169479370117
