id_record,sequence_name,body_part,activity,timestamp,date,coord_x,coord_y,coord_z
1,A01,010-000-024-033,walking,633790226051280329,27.05.2009 14:03:25:127,4.062931060791016,1.8924342393875122,0.5074254274368286
2,A01,020-000-033-111,walking,633790226051820913,27.05.2009 14:03:25:183,4.2919535636901855,1.7811404466629028,1.3444952964782715
3,A01,020-000-032-221,walking,633790226052091205,27.05.2009 14:03:25:210,4.359101295471191,1.8264557123184204,0.9688209891319275
4,A01,010-000-024-033,walking,633790226052361498,27.05.2009 14:03:25:237,4.087835311889648,1.8799986839294434,0.4669834077358246
5,A01,010-000-030-096,walking,633790226052631792,27.05.2009 14:03:25:263,4.324462413787842,2.0724596977233887,0.48806464672088623
6,A01,020-000-033-111,walking,633790226052902087,27.05.2009 14:03:25:290,4.364077091217041,1.7676914930343628,1.2999963760375977
7,A01,020-000-032-221,walking,633790226053172379,27.05.2009 14:03:25:317,4.373908042907715,1.887959599494934,0.7690189480781555
8,A01,010-000-024-033,walking,633790226053442677,27.05.2009 14:03:25:343,3.95849609375,1.70356285572052,0.5110414028167725
9,A01,020-000-033-111,walking,633790226053983265,27.05.2009 14:03:25:397,4.244913578033447,1.9816819429397583,1.3087588548660278
10,A01,010-000-024-033,walking,633790226054523854,27.05.2009 14:03:25:453,4.016990661621094,1.7340649366378784,0.1931668072938919
11,A01,010-000-030-096,walking,633790226054794151,27.05.2009 14:03:25:480,4.358249187469482,2.0338358879089355,0.5028252601623535
12,A01,020-000-033-111,walking,633790226055064446,27.05.2009 14:03:25:507,4.126309394836426,2.165540933609009,1.3788437843322754
13,A01,020-000-032-221,walking,633790226055334743,27.05.2009 14:03:25:533,4.41847038269043,1.839860200881958,0.9729407429695129
14,A01,010-000-024-033,walking,633790226055605037,27.05.2009 14:03:25:560,3.7483747005462646,2.073422431945801,0.254481703042984
15,A01,020-000-032-221,walking,633790226056415915,27.05.2009 14:03:25:640,4.363125801086426,1.9368687868118286,0.9398277401924133
16,A01,010-000-024-033,walking,633790226056686205,27.05.2009 14:03:25:670,3.8208940029144287,2.049377918243408,0.05537686496973038
17,A01,010-000-030-096,walking,633790226056956500,27.05.2009 14:03:25:697,4.355477333068848,1.9901506900787354,0.501697838306427
18,A01,020-000-033-111,walking,633790226057226795,27.05.2009 14:03:25:723,4.292500972747803,2.0738532543182373,1.36650812625885
19,A01,020-000-032-221,walking,633790226057497087,27.05.2009 14:03:25:750,4.443745136260986,1.882843017578125,0.9807919859886169
20,A01,010-000-024-033,walking,633790226057767378,27.05.2009 14:03:25:777,4.039506435394287,1.9084653854370117,0.4538170099258423
21,A01,020-000-032-221,walking,633790226058578251,27.05.2009 14:03:25:857,4.442771911621094,1.9214894771575928,0.9722917079925537
22,A01,010-000-024-033,walking,633790226058848547,27.05.2009 14:03:25:883,4.0300493240356445,1.924634337425232,0.4908458888530731
23,A01,010-000-030-096,walking,633790226059118838,27.05.2009 14:03:25:913,4.43934965133667,1.7790948152542114,0.5815326571464539
24,A01,020-000-033-111,walking,633790226059389134,27.05.2009 14:03:25:940,4.401064872741699,1.9587301015853882,1.3927028179168701
25,A01,010-000-024-033,walking,633790226059929714,27.05.2009 14:03:25:993,4.033097267150879,1.9077460765838623,0.4499805271625519
26,A01,020-000-033-111,walking,633790226060470296,27.05.2009 14:03:26:047,4.257812976837158,2.118816375732422,1.421759843826294
27,A01,020-000-032-221,walking,633790226060740593,27.05.2009 14:03:26:073,4.321756839752197,2.0161659717559814,0.9542430639266968
28,A01,010-000-024-033,walking,633790226061010886,27.05.2009 14:03:26:100,3.8152081966400146,1.9881162643432617,0.2273978888988495
29,A01,010-000-030-096,walking,633790226061281182,27.05.2009 14:03:26:127,4.30866813659668,2.0415589809417725,0.5568785071372986
30,A01,020-000-033-111,walking,633790226061551477,27.05.2009 14:03:26:157,4.1752190589904785,2.1623518466949463,1.3521299362182617
31,A01,010-000-024-033,walking,633790226062092058,27.05.2009 14:03:26:210,4.025538444519043,1.9191956520080566,0.5377328395843506
32,A01,020-000-033-111,walking,633790226062632644,27.05.2009 14:03:26:263,4.1526947021484375,2.2164318561553955,1.3456181287765503
33,A01,020-000-032-221,walking,633790226062902937,27.05.2009 14:03:26:290,4.327484130859375,1.9038004875183105,1.0139302015304565
34,A01,010-000-024-033,walking,633790226063173229,27.05.2009 14:03:26:317,3.9991233348846436,1.9111965894699097,0.5472050309181213
35,A01,010-000-030-096,walking,633790226063443524,27.05.2009 14:03:26:343,4.488844394683838,1.8774183988571167,0.29862141609191895
36,A01,020-000-033-111,walking,633790226063713818,27.05.2009 14:03:26:370,4.141219615936279,2.181058883666992,1.3319170475006104
37,A01,020-000-032-221,walking,633790226063984109,27.05.2009 14:03:26:400,4.310126304626465,1.9908361434936523,0.9690410494804382
38,A01,010-000-024-033,walking,633790226064254399,27.05.2009 14:03:26:427,3.7943692207336426,1.9427129030227661,0.19322599470615387
39,A01,020-000-033-111,walking,633790226064794985,27.05.2009 14:03:26:480,4.13047981262207,2.1885557174682617,1.3609391450881958
40,A01,020-000-032-221,walking,633790226065065279,27.05.2009 14:03:26:507,4.351978302001953,1.9333747625350952,0.9961614608764648
41,A01,010-000-024-033,walking,633790226065335574,27.05.2009 14:03:26:533,4.035763740539551,1.8816325664520264,0.4977138340473175
42,A01,010-000-030-096,walking,633790226065605868,27.05.2009 14:03:26:560,4.332226753234863,2.0054378509521484,0.44122231006622314
43,A01,020-000-033-111,walking,633790226065876166,27.05.2009 14:03:26:587,4.197641372680664,2.160639524459839,1.3580472469329834
